Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
RUMAH LAMA BANGUNAN LEGA HARGA ISTIMEWA,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",4,2,162 m²,230 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH DI GRAND CITY SEMI FURNISH 2 KAMAR,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",2,2,78 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,,,,,,,,,,,,,Dijual
RUMAH BAGUS JARANG ADA POSISI HOOK DALAM CLUSTER DEKAT MASJID NAMIRAH,"Rp 4,8 Miliar","Balikpapan Baru, Balikpapan",4,4,400 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
RUMAH TANPA DP ANGSURAN 3 JT-AN SETIAP BULAN,Rp 880 Juta,"Balikpapan Tengah, Balikpapan",2,2,60 m²,47 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH DELAPAN KAMAR TIDUR DI SIMPANG JALAN BOLUVERD COCOK UNTUK MESS KANTOR RUMAH TINGGAL ATAU USAHA,Rp 3 Miliar,"Gn. Samarinda, Balikpapan",8,3,384 m²,220 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
TURUN HARGA MENJADI TERBAIK RUMAH PETAK 3 PINTU KAMPUNG TIMUR MURAH COCOK UNTUK INVESTASI,Rp 900 Juta,"Gn. Samarinda, Balikpapan",6,3,252 m²,252 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
MODERN MINIMALIS 1 LANTAI SIAP HUNI,"Rp 2,5 Miliar","Damai, Balikpapan",4,3,180 m²,111 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
RUMAH DENGAN HARGA BANTING SIAPA CEPAT DIA DAPAT,Rp 1 Miliar,"Balikpapan Selatan, Balikpapan",3,2,240 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH TINGGAL TENGAH KOTA BALIKPAPAN,Rp 650 Juta,"Balikpapan Selatan, Balikpapan",2,2,140 m²,92 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
CEPAT TENGAH KOTA HARGA BERSAING,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,2,299 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
MURAH DEKET PUSAT KOTA MOBIL SAMPAI TERAS RUMAH,Rp 595 Juta,"Balikpapan Selatan, Balikpapan",2,1,112 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH TERAWAT MODERN MINIMALIS ONE GATE SYSTEM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",5,3,120 m²,115 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
TURUN HARGA RUMAH DUA LANTAI DI KAWASAN ELIT,"Rp 1,8 Miliar","Balikpapan Selatan, Balikpapan",3,3,100 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH POSISI HOOK DI  HITUNG HARGA TANAH AJA,Rp 850 Juta,"Balikpapan Utara, Balikpapan",2,1,208 m²,180 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
EMPAT MILLIAR LANGSUNG HUNI NO RENOV2 RUMAH ADA KOLAM RENANG TERAWAT,"Rp 4,5 Miliar","Balikpapan Tengah, Balikpapan",3,4,300 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1,,,,,,,,,,,,Dijual
BANGUNAN LAHAN BESAR KAWASAN ELIT DEKET MALL,"Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",4,3,354 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
RUMAH DEKAT PERUSAHAAN THIESS DAN STADION BATAKAN,Rp 800 Juta,"Balikpapan Timur, Balikpapan",2,2,150 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS EMPAT KAMAR TIDUR DEKAT MASJID,"Rp 2,7 Miliar","Balikpapan Utara, Balikpapan",4,3,311 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
DUA MILLIAR RUMAH BESAR ASRI SIRKULASI UDARA BAGUS KAWASAN PREMIUM,"Rp 2,4 Miliar","Balikpapan Selatan, Balikpapan",5,3,215 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
RUMAH PINGGIR JALAN RAYA LAHAN LUAS KONDISI TERAWAT DAN BAGUS DI  FULL FURNISH,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",4,2,400 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
HANYA 1 UNIT HARGA TERBAIK,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",2,2,108 m²,61 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
READY STOK RUMAH DEKAT KAMPUS UNTRI,Rp 530 Juta,"Balikpapan Selatan, Balikpapan",2,1,75 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
JARANG ADA DI CLUSTERNYA LAHAN LUAS HARGA ISTIMEWA,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH BAGUS TERAWAT DEKAT BANDARA SIAP HUNI,Rp 900 Juta,"Balikpapan Timur, Balikpapan",3,1,114 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH BESAR POSISI POJOK TURUN HARGA DEKAT RSKD KANUDJOSO,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,256 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
COCOK UNTUK KOS KOSAN RUMAH MURAH DEKAT BANDARA TINGGAL FINISHING,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",4,2,200 m²,195 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,3,,,,,,,,,,,,Dijual
CANTIK SIAP HUNI EMPAT KAMAR  SIRKULASI UDARA BAGUS DEKAT SILOAM HOSPITAL,"Rp 3,3 Miliar","Balikpapan Selatan, Balikpapan",4,3,215 m²,230 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
DEKAT POLDA DAN RS HERMINA TERMURAH RUMAH BARU BONUS AC,"Rp 2,05 Miliar","Balikpapan Selatan, Balikpapan",3,3,200 m²,108 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
DEKAT RSKD KANUDJOSO  MURAH,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,2,163 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
TURUN HARGA DEKAT BANDARA DAN LAUT BUTUH TER CEPAT,Rp 5 Miliar,"Balikpapan Selatan, Balikpapan",5,4,499 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
Rumah mewah di perumahan Pupuk dan sejuk,"Rp 28,5 Miliar","Balikpapan Selatan, Balikpapan",15,15,1060 m²,1600 m²,5,Rumah,SHM - Sertifikat Hak Milik,16500 Watt,,,Ya,Ya,Semi Furnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH  MEWAH WIKA DEKAT DARI RUMAH SAKIT,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,475 m²,380 m²,2,Rumah,SHM - Sertifikat Hak Milik,7600 Watt,1,1,Ya,Ya,Furnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
*BALIKPAPAN RUMAH CANTIK DALAM CLUSTER DITENGAH KOTA SIAP HUNI ( LKO 02),"Rp 3,5 Miliar","Balikpapan Selatan, Balikpapan",4,3,160 m²,298 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,Semi Furnished,2,Pemukiman Warga,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
BALIKPAPAN RUMAH DALAM CLUSTER BDI TENGAH KOTA ( LKO 01),"Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",4,2,144 m²,100 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,,1,Pemukiman Warga,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"BALIKPAPAN, RUMAH STRATEGIS DAN NYAMAN DI RUHUI RAHAYU","Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",3,2,134 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
CEPAT RUMAH CANTIK SEMI FURNISHED,Rp 700 Juta,"Balikpapan Utara, Balikpapan",2,1,110 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Balikpapan Perumahan Griya Permata Asri,Rp 370 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH BALIKPAPAN GUNUNG GUNTUR,Rp 470 Juta,"Balikpapan Tengah, Balikpapan",3,2,180 m²,154 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
Hunian Serba Baru dan Modern Di Dalam Perumahan,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,111 m²,95 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Semi Furnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
Hunian Murah Di perumahan Wika Balikpapan,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,2,90 m²,90 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Hunian unik ditengah kota balikpapan.   ,Rp 900 Juta,"Gn. Samarinda, Balikpapan",5,2,330 m²,108 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Hunian Cantik dekat SMAN 4 Balikpapan.  ,"Rp 1,3 Miliar","Sepinggan, Balikpapan",3,2,350 m²,91 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
Hunian murah Di  daerah Gunung Guntur ditengah kota ,Rp 450 Juta,"Sumber Rejo, Balikpapan",3,1,173 m²,30 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah kos tengah kota balikpapan ,"Rp 2,9 Miliar","Balikpapan Kota, Balikpapan",15,9,650 m²,380 m²,4,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,2,Ya,Ya,Semi Furnished,2,Perkotaan,Ya,1 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,Dijual
"BALIKPAPAN RUMAH BESAR STRATEGIS DEKAT BANDARA , PASAR DAN SEKOLAH ","Rp 1,85 Miliar","Sepinggan, Balikpapan",4,3,150 m²,150 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1,Ya,Ya,Furnished,2,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH SATU LANTAI DI KAWASAN PERUMAHAN WIKA,"Rp 1,05 Miliar","Balikpapan Utara, Balikpapan",2,1,168 m²,54 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",Rp 980 Juta,"Balikpapan Utara, Balikpapan",2,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
Dijual Rumah Beserta Usaha Salon Dan Studio Dance Di Balikpapan Baru Bb,Rp 3 Miliar,"Balikpapan Baru, Balikpapan",3,3,320 m²,400 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1,Ya,Ya,Unfurnished,2,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"Dijual Rumah di Balikpapan Baru Bb, Balikpapan","Rp 1,85 Miliar","Balikpapan Baru, Balikpapan",3,2,165 m²,165 m²,1,Rumah,SHM - Sertifikat Hak Milik,,1,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,Dijual
"Dijual Rumah Siap Huni di Komplek Perumahan Balikpapan Baru, Balikpapan","Rp 1,75 Miliar","Balikpapan Baru, Balikpapan",4,2,120 m²,136 m²,1,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,1,Ya,Ya,Unfurnished,2,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
RUKO PINGGIR JALAN DI PERUMAHAN REGENCY BALIKPAPAN,"Rp 1,05 Miliar","Balikpapan Selatan, Balikpapan",2,2,57 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
"Dijual Cepat Rumah Tengah Kota di Komplek Perumahan Pupuk , Balikpapan","Rp 2,2 Miliar","Balikpapan Selatan, Balikpapan",3,2,374 m²,220 m²,2,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
"Dijual Rumah di Komplek Perumahan Balikpapan Baru , Balikpapan","Rp 1,6 Miliar","Balikpapan Selatan, Balikpapan",3,2,170 m²,70 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,Dijual
BALIKPAPAN  RUMAH MURAH SIAP HUNI,Rp 800 Juta,"Sepinggan, Balikpapan",3,2,167 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH EMPAT KAMAR TIDUR DALAM PERUMAHAN LUAS TENGAH KOTA BALIKPAPAN,Rp 830 Juta,"Balikpapan Selatan, Balikpapan",4,1,84 m²,115 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH TERAWAT LOKASI STRATEGIS DEKAT AIRPORT (FHS-RM-01),Rp 550 Juta,"Balikpapan Selatan, Balikpapan",2,2,150 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,,,,,,,,,,,,Dijual
RUMAH TERAWAT LOKASI STRATEGIS TENGAH KOTA AKSES DEKAT (FHS-RM-02),Rp 425 Juta,"Balikpapan Tengah, Balikpapan",3,1,98 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
"RUMAH STRATEGIS BATU AMPAR RUMAH TERAWAT, HALAMAN LUAS, BEBAS BANJIR JALAN DEPAN LEBAR(FHS-RM-03)","Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",3,2,210 m²,98 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH PUSAT KOTA RUMAH PINGGIR JALAN RUMAH DEKAT PASAR BARU (FHS-RM-04),Rp 580 Juta,"Balikpapan Tengah, Balikpapan",3,1,171 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH DI GRAND CITY KAWASAN ELITE(FHS-RM-13),"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,2,126 m²,79 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH DEKAT JALAN BESAR,Rp 550 Juta,"Balikpapan Tengah, Balikpapan",3,1,166 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
RUMAH HOOK LUAS DALAM PERUMAHAN BALIKPAPAN,Rp 675 Juta,"Balikpapan Selatan, Balikpapan",2,1,157 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,Rp 935 Juta,"Balikpapan Tengah, Balikpapan",2,1,120 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH BESAR 2 LANTAI BESERTA ISINYA,"Rp 1,45 Miliar","Balikpapan Utara, Balikpapan",4,2,211 m²,269 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,Rp 680 Juta,"Balikpapan Tengah, Balikpapan",2,1,78 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
RUMAH BARU DI TENGAH KOTA DEKAT PERUMAHAN BALIKPAPAN BARU DAN SIAP BANGUN,"Rp 1,06 Miliar","Balikpapan Tengah, Balikpapan",2,1,185 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Tidak,Tidak,,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Baru,Dijual
RUMAH DEKAT PASAR INPRES KEBUN SAYUR,Rp 3 Miliar,"Marga Sari, Balikpapan",7,7,600 m²,550 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH 2 LANTAI SIAP HUNI DI SEPINGGAN  PRATAMA,"Rp 1,35 Miliar","Balikpapan Selatan, Balikpapan",3,3,108 m²,141 m²,,Rumah,HGB - Hak Guna Bangunan,16500 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS  SIAP HUNI HARGA TERJUN BEBAS DI SEPINGGAN PRATAMA,"Rp 1,55 Miliar","Balikpapan Selatan, Balikpapan",2,2,160 m²,144 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,1,,,,,,,,,,,,Dijual
RUMAH MINIMALIS MODERN BERSIH TERAWAT SIAP HUNI DI SEPINGGAN PRATAMA,Rp 4 Miliar,"Balikpapan Selatan, Balikpapan",3,2,400 m²,160 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,,,,,,,,,,,Dijual
RUMAH BARU MINIMALIS DUA KAMAR TIDUR DALAM PERUMAHAN DI TENGAH KOTA BALIKPAPAN,Rp 607 Juta,"Balikpapan Tengah, Balikpapan",2,1,72 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
Rumah Siap Huni 2 Lantai Full Renovasi dan furnished di Perumahan Wika Balikpapan,"Rp 1,45 Miliar","Balikpapan Utara, Balikpapan",5,3,201 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,1,Tidak,Tidak,,2,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Minimalist Dekat Rumah Sakit Hermina Balikpapan,"Rp 1,5 Miliar","Balikpapan Utara, Balikpapan",3,2,200 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
Rumah Minimalist Jual Cepat  ditengah kota,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",3,2,120 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
"Dijual Rumah Kantor di Komplek Balikpapan Baru, Balikpapan Selatan Kalimantan Timur","Rp 6,9 Miliar","Balikpapan Baru, Balikpapan",12,9,295 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,Ya,Ya,Semi Furnished,3,,Ya,,PAM atau PDAM,Tidak,Bagus,Dijual
RUMAH EMPAT KAMAR TIDUR MEWAH LUAS DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 4,5 Miliar","Balikpapan Selatan, Balikpapan",4,4,342 m²,308 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,,,,,,,,,,,,Dijual
Balikpapan di  rumah nyaman di Borneo Paradiso,"Rp 1,19 Miliar","Sepinggan, Balikpapan",2,1,162 m²,70 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,,,,,,,,,,,Dijual
RUMAH BARU RENOVASI SIAP HUNI DI PERUMAHAN DAUN VILLAGE,"Rp 1,9 Miliar","Balikpapan Selatan, Balikpapan",2,1,212 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
RUMAH STRATEGIS DI PERUMAHAN DAUN VILLAGE,Rp 930 Juta,"Balikpapan Utara, Balikpapan",3,2,80 m²,112 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Dijual Rumah di Poka Pondok Katrya Agung Loakasi Tengah Kota Balikpapan,"Rp 1,3 Miliar","Balikpapan Selatan, Balikpapan",5,3,450 m²,250 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,1,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
RUMAH  SIAP HUNI 2 LANTAI DEPAN JALAN UTAMA PERUMAHAN DENGAN HARGA MIRING,"Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",4,3,170 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
"RUMAH HOOK SIAP HUNI DENGAN LOKASI AMAN, NYAMAN DAN BEBAS BANJIR SERTA DEKAT DENGAN BANDARA","Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",4,3,287 m²,184 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN KOST KOSTAN TENGAH KOTA,"Rp 1,25 Miliar","Gn. Sari Ilir, Balikpapan",8,8,217 m²,217 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
SEGERA PERUM CITRA BUKIT INDAH,"Rp 4,5 Miliar","Damai, Balikpapan",4,1,356 m²,199 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
RUMAH DI PINGGIR JALAN MANGGA DAN MARTADINATA STRATEGIS TEMPAT USAHA,"Rp 1,9 Miliar","Balikpapan Tengah, Balikpapan",5,4,214 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
GUNUNG GUNTUR,Rp 550 Juta,"Gn. Sari Ilir, Balikpapan",2,1,78 m²,40 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN REGENCY,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",2,1,96 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MINIMALIS SIAP HUNI DI AREA WIKA,Rp 750 Juta,"Balikpapan Utara, Balikpapan",2,1,120 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,Rp 925 Juta,"Balikpapan Selatan, Balikpapan",2,1,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,2,191 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH BAGUS DI CITRA BUKIT INDAH GREEN VILLE KOTA BALIK PAPAN KALTIM,"Rp 1,7 Miliar","Balikpapan Selatan, Balikpapan",3,2,191 m²,215 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN RUMAH WIKA 3 KAMAR TIDUR (LM330),Rp 850 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
330 Balikpapan Taman Sari Bukit Mutiara Rumah Wika 3 Kamar Tidur,Rp 875 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Hunian Dikawasan Sekolahan Islam Terpadu,"Rp 1,9 Miliar","Balikpapan Baru, Balikpapan",3,1,195 m²,130 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
